Team1,Team2,Winner,Ground,Date,Match_no,link,TeamName,inns,fours,sixes,xtras_receive,total,wkts_lost
Zimbabwe,New Zealand,New Zealand,Bulawayo,"Aug 15-17, 2005",1761,http://www.espncricinfo.com/ci/engine/match/216055.html,Zimbabwe,2,28,6,5,207,10
England,Australia,England,Nottingham,"Aug 25-28, 2005",1762,http://www.espncricinfo.com/ci/engine/match/216994.html,England,1,56,2,42,477,10
England,Australia,England,Nottingham,"Aug 25-28, 2005",1762,http://www.espncricinfo.com/ci/engine/match/216994.html,Australia,1,27,4,19,218,10
England,Australia,England,Nottingham,"Aug 25-28, 2005",1762,http://www.espncricinfo.com/ci/engine/match/216994.html,Australia,2,38,3,19,387,10
England,Australia,England,Nottingham,"Aug 25-28, 2005",1762,http://www.espncricinfo.com/ci/engine/match/216994.html,England,2,14,0,9,129,7
England,Australia,drawn,The Oval,"Sep 8-12, 2005",1763,http://www.espncricinfo.com/ci/engine/match/218383.html,England,1,52,1,18,373,10
England,Australia,drawn,The Oval,"Sep 8-12, 2005",1763,http://www.espncricinfo.com/ci/engine/match/218383.html,Australia,1,39,2,23,367,10
England,Australia,drawn,The Oval,"Sep 8-12, 2005",1763,http://www.espncricinfo.com/ci/engine/match/218383.html,England,2,31,7,16,335,10
England,Australia,drawn,The Oval,"Sep 8-12, 2005",1763,http://www.espncricinfo.com/ci/engine/match/218383.html,Australia,2,0,0,4,4,0
Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS),"Sep 12-14, 2005",1764,http://www.espncricinfo.com/ci/engine/match/218813.html,Bangladesh,1,24,0,22,188,10
Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS),"Sep 12-14, 2005",1764,http://www.espncricinfo.com/ci/engine/match/218813.html,Sri Lanka,1,32,1,27,370,9
Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS),"Sep 12-14, 2005",1764,http://www.espncricinfo.com/ci/engine/match/218813.html,Bangladesh,2,6,0,11,86,10
Zimbabwe,India,India,Bulawayo,"Sep 13-16, 2005",1765,http://www.espncricinfo.com/ci/engine/match/219062.html,Zimbabwe,1,27,2,29,279,10
Zimbabwe,India,India,Bulawayo,"Sep 13-16, 2005",1765,http://www.espncricinfo.com/ci/engine/match/219062.html,India,1,68,5,14,554,10
Zimbabwe,India,India,Bulawayo,"Sep 13-16, 2005",1765,http://www.espncricinfo.com/ci/engine/match/219062.html,Zimbabwe,2,27,0,11,185,10
Sri Lanka,Bangladesh,Sri Lanka,Colombo (PSS),"Sep 20-22, 2005",1766,http://www.espncricinfo.com/ci/engine/match/219612.html,Sri Lanka,1,58,3,26,457,9
Sri Lanka,Bangladesh,Sri Lanka,Colombo (PSS),"Sep 20-22, 2005",1766,http://www.espncricinfo.com/ci/engine/match/219612.html,Bangladesh,1,16,3,34,191,10
Sri Lanka,Bangladesh,Sri Lanka,Colombo (PSS),"Sep 20-22, 2005",1766,http://www.espncricinfo.com/ci/engine/match/219612.html,Bangladesh,2,23,0,16,197,10
Zimbabwe,India,India,Harare,"Sep 20-22, 2005",1767,http://www.espncricinfo.com/ci/engine/match/219613.html,Zimbabwe,1,18,2,7,161,10
Zimbabwe,India,India,Harare,"Sep 20-22, 2005",1767,http://www.espncricinfo.com/ci/engine/match/219613.html,India,1,56,0,21,366,10
Zimbabwe,India,India,Harare,"Sep 20-22, 2005",1767,http://www.espncricinfo.com/ci/engine/match/219613.html,Zimbabwe,2,24,5,16,223,10
Zimbabwe,India,India,Harare,"Sep 20-22, 2005",1767,http://www.espncricinfo.com/ci/engine/match/219613.html,India,2,3,0,4,19,0
Australia,ICC World XI,Australia,Sydney,"Oct 14-17, 2005",1768,http://www.espncricinfo.com/ci/engine/match/221840.html,Australia,1,31,5,25,345,10
Australia,ICC World XI,Australia,Sydney,"Oct 14-17, 2005",1768,http://www.espncricinfo.com/ci/engine/match/221840.html,XI,1,24,4,6,190,10
Australia,ICC World XI,Australia,Sydney,"Oct 14-17, 2005",1768,http://www.espncricinfo.com/ci/engine/match/221840.html,Australia,2,17,0,16,199,10
Australia,ICC World XI,Australia,Sydney,"Oct 14-17, 2005",1768,http://www.espncricinfo.com/ci/engine/match/221840.html,XI,2,16,2,7,144,10
Australia,West Indies,Australia,Brisbane,"Nov 3-6, 2005",1769,http://www.espncricinfo.com/ci/engine/match/223889.html,Australia,1,41,1,46,435,10
Australia,West Indies,Australia,Brisbane,"Nov 3-6, 2005",1769,http://www.espncricinfo.com/ci/engine/match/223889.html,West Indies,1,27,1,11,210,10
Australia,West Indies,Australia,Brisbane,"Nov 3-6, 2005",1769,http://www.espncricinfo.com/ci/engine/match/223889.html,Australia,2,21,2,18,283,2
Australia,West Indies,Australia,Brisbane,"Nov 3-6, 2005",1769,http://www.espncricinfo.com/ci/engine/match/223889.html,West Indies,2,14,2,13,129,10
Pakistan,England,Pakistan,Multan,"Nov 12-16, 2005",1770,http://www.espncricinfo.com/ci/engine/match/225443.html,Pakistan,1,30,1,19,274,10
Pakistan,England,Pakistan,Multan,"Nov 12-16, 2005",1770,http://www.espncricinfo.com/ci/engine/match/225443.html,England,1,43,2,42,418,10
Pakistan,England,Pakistan,Multan,"Nov 12-16, 2005",1770,http://www.espncricinfo.com/ci/engine/match/225443.html,Pakistan,2,38,1,16,341,10
Pakistan,England,Pakistan,Multan,"Nov 12-16, 2005",1770,http://www.espncricinfo.com/ci/engine/match/225443.html,England,2,14,2,9,175,10
Australia,West Indies,Australia,Hobart,"Nov 17-21, 2005",1771,http://www.espncricinfo.com/ci/engine/match/226120.html,West Indies,1,13,2,7,149,10
